variant,source,e_explicit,m_explicit,f_explicit,e_could_be,m_could_be,f_could_be,e_score,m_score,f_score,e_max,m_max,f_max,d_min,d_max,zone,uncertain,question_tags
whole wheat flour,wheat,milling,flour/fine powder,base ingredient,NULL,NULL,NULL,0.28,0.33,0.12,0.28,0.33,0.12,0.231,0.231,1,False,False
black truffle oil,truffle,solvent extraction,oil,lipid base,NULL,extract/oleoresin,flavouring agent,0.82,0.7,0.22,0.82,0.86,0.675,0.544,0.774,2,True,False
calcium caseinate,milk,NULL,protein concentrate,base ingredient,NULL,NULL,NULL,0,0.74,0.12,0,0.74,0.12,0.27,0.27,1,False,False
cantaloupe powder,cantaloupe,drying,powder,flavouring agent,NULL,NULL,taste profile / spice,0.42,0.42,0.675,0.42,0.42,0.675,0.522,0.522,2,False,False
ferrous gluconate,mineral,NULL,crystalline chemical,base ingredient,NULL,NULL,NULL,0,0.98,0.12,0,0.98,0.12,0.342,0.342,2,False,False
trans fatty acids,palm | soybean | groundnut,hydrogenation|interesterification,fat fraction,lipid base,NULL,oil,NULL,0.92,0.72,0.22,0.92,0.72,0.22,0.58,0.58,2,False,False
pueraria tuberosa,pueraria tuberosa,NULL,whole/fresh pieces,base ingredient,NULL,cut/sliced pieces|powder,thickener,0,0.05,0.12,0,0.42,0.615,0.063,0.372,1,True,False
pullulan ins 1204,aureobasidium pullulans,fermentation,powder,thickener|stabiliser|gelling agent,NULL,NULL,NULL,0.56,0.42,0.675,0.56,0.42,0.675,0.564,0.564,2,False,False
red currant dices,red currant,cut/sliced pieces,cut/sliced pieces,base ingredient,NULL,whole/fresh pieces,sweetener,0,0.1,0.12,0,0.1,0.625,0.078,0.28,1,False,False
red currant puree,red currant,NULL,pulp/puree,base ingredient,NULL,NULL,sweetener,0,0.25,0.12,0,0.25,0.625,0.123,0.325,1,True,False
sunflower creamer,sunflower,NULL,emulsifier powder,emulsifier,NULL,NULL,foaming agent,0,0.89,0.825,0,0.89,0.825,0.597,0.597,2,False,False
thaumatin ins 957,thaumatococcus daniellii,NULL,powder,sweetener,NULL,NULL,flavouring agent,0,0.42,0.625,0,0.42,0.675,0.376,0.396,2,False,False
wheatgrass powder,wheatgrass,drying,powder,base ingredient,milling,NULL,NULL,0.42,0.42,0.12,0.42,0.42,0.12,0.3,0.3,2,False,False
improver xylanase,trichoderma reesei,NULL,powder,flour treatment agent,NULL,NULL,NULL,0,0.42,0.93,0,0.42,0.93,0.498,0.498,2,False,False
sauvarchala lavana,mineral,NULL,crystalline chemical,taste profile / spice,NULL,NULL,flavouring agent,0,0.98,0.18,0,0.98,0.675,0.366,0.564,2,False,False
common edible salt,mineral,NULL,crystalline chemical,base ingredient,NULL,NULL,NULL,0,0.98,0.12,0,0.98,0.12,0.342,0.342,2,False,False
edible common salt,mineral,NULL,crystalline chemical,base ingredient,NULL,NULL,NULL,0,0.98,0.12,0,0.98,0.12,0.342,0.342,2,False,False
color ins 160a iii,carrot,NULL,extract/oleoresin,colour,NULL,NULL,flavouring agent,0,0.86,0.8,0,0.86,0.8,0.578,0.578,2,False,False
edible maze starch,corn,NULL,starch flour,base ingredient,NULL,NULL,thickener,0,0.6,0.12,0,0.6,0.615,0.228,0.426,1,True,False
thickener ins 1422,corn | tapioca,NULL,modified starch powder,thickener,NULL,starch flour,stabiliser|gelling agent,0,0.96,0.615,0,0.96,0.675,0.534,0.558,2,False,False
thickener ins 1405,tapioca,NULL,modified starch powder,thickener,NULL,starch flour,stabiliser|gelling agent,0,0.96,0.615,0,0.96,0.675,0.534,0.558,2,False,False
thickener ins 1412,corn,NULL,modified starch powder,thickener,NULL,starch flour,stabiliser|gelling agent,0,0.96,0.615,0,0.96,0.675,0.534,0.558,2,False,False
thickener ins 1442,corn | tapioca,NULL,modified starch powder,thickener,NULL,starch flour,stabiliser|gelling agent,0,0.96,0.615,0,0.96,0.675,0.534,0.558,2,False,False
thickener ins 1401,corn | potato,NULL,modified starch powder,thickener,NULL,starch flour,stabiliser|gelling agent,0,0.96,0.615,0,0.96,0.675,0.534,0.558,2,False,False
thickener ins 1440,corn | tapioca,NULL,modified starch powder,thickener,NULL,starch flour,stabiliser|gelling agent,0,0.96,0.615,0,0.96,0.675,0.534,0.558,2,False,False
sweet cream powder,milk,NULL,powder,base ingredient,NULL,NULL,NULL,0,0.42,0.12,0,0.42,0.12,0.174,0.174,1,False,False
high maltose syrup,corn | tapioca,NULL,syrup,sweetener,?hydrolysis,NULL,bulking agent,0,0.4,0.625,0.6,0.4,0.625,0.37,0.55,2,False,True
salts of magnesium,mineral,NULL,crystalline chemical,base ingredient,NULL,NULL,NULL,0,0.98,0.12,0,0.98,0.12,0.342,0.342,2,False,False
magnesium stearate,mineral | palm,NULL,crystalline chemical,anticaking agent,NULL,NULL,NULL,0,0.98,0.85,0,0.98,0.85,0.634,0.634,2,False,False
magnesium sulphate,mineral,NULL,crystalline chemical,base ingredient,NULL,NULL,firming agent,0,0.98,0.12,0,0.98,0.45,0.342,0.474,2,False,False
magnesium chloride,mineral,NULL,crystalline chemical,firming agent,NULL,NULL,NULL,0,0.98,0.45,0,0.98,0.45,0.474,0.474,2,False,False
dried mango powder,mango,drying,powder,taste profile / spice,NULL,NULL,flavouring agent,0.42,0.42,0.18,0.42,0.42,0.675,0.324,0.522,2,False,False
mango fruit powder,mango,NULL,powder,taste profile / spice,drying,NULL,flavouring agent,0,0.42,0.18,0.42,0.42,0.675,0.198,0.522,1,True,False
mango juice powder,mango,drying,powder,flavouring agent,NULL,juice,NULL,0.42,0.42,0.675,0.42,0.5,0.675,0.522,0.546,2,False,False
dried mango slices,mango,drying,cut/sliced pieces,taste profile / spice,NULL,whole/fresh pieces,flavouring agent,0.42,0.1,0.18,0.42,0.1,0.675,0.228,0.426,1,True,False
dried skimmed milk,milk,drying|skim/defatted meal,powder,base ingredient,NULL,NULL,NULL,0.42,0.42,0.12,0.42,0.42,0.12,0.3,0.3,2,False,False
whole grain saamai,saamai,NULL,whole/fresh pieces,base ingredient,milling,flour/fine powder,NULL,0,0.05,0.12,0.28,0.33,0.12,0.063,0.231,1,False,False
sweetener ins 960a,stevia,NULL,extract/oleoresin,sweetener,solvent extraction,powder,flavouring agent,0,0.86,0.625,0.82,0.86,0.675,0.508,0.774,2,True,False
sweetener ins e960,stevia,NULL,extract/oleoresin,sweetener,solvent extraction,powder,flavouring agent,0,0.86,0.625,0.82,0.86,0.675,0.508,0.774,2,True,False
dextrose anhydrous,corn | tapioca,NULL,crystalline chemical,sweetener,?hydrolysis,powder,bulking agent,0,0.98,0.625,0.6,0.98,0.625,0.544,0.724,2,True,True
invert sugar syrup,sugarcane,?hydrolysis,syrup,sweetener,refining,NULL,NULL,0.6,0.4,0.625,0.75,0.4,0.625,0.55,0.595,2,False,True
split black lentil,lentil,NULL,cut/sliced pieces,base ingredient,NULL,whole/fresh pieces,NULL,0,0.1,0.12,0,0.1,0.12,0.078,0.078,1,False,False
sushi rice vinegar,rice,fermentation,juice,flavouring agent,NULL,NULL,acidity regulator,0.56,0.5,0.675,0.56,0.5,0.86,0.588,0.662,2,False,False
acidity regulators,synthetic | corn,NULL,crystalline chemical,acidity regulator,fermentation,powder,antioxidant|preservative,0,0.98,0.86,0.56,0.98,0.885,0.638,0.816,2,True,False
stabilizer ins 450,synthetic,NULL,crystalline chemical,stabiliser,NULL,powder,emulsifier|acidity regulator,0,0.98,0.65,0,0.98,0.86,0.554,0.638,2,False,False
texturizer ins 451,synthetic,NULL,crystalline chemical,stabiliser,NULL,powder,emulsifier|acidity regulator,0,0.98,0.65,0,0.98,0.86,0.554,0.638,2,False,False
emulsifier ins 452,synthetic,NULL,crystalline chemical,emulsifier,NULL,powder,stabiliser|acidity regulator,0,0.98,0.825,0,0.98,0.86,0.624,0.638,2,False,False
stabilizer ins 452,synthetic,NULL,crystalline chemical,stabiliser,NULL,powder,emulsifier|acidity regulator,0,0.98,0.65,0,0.98,0.86,0.554,0.638,2,False,False
stabilizer ins 339,mineral,NULL,crystalline chemical,stabiliser,NULL,powder,acidity regulator,0,0.98,0.65,0,0.98,0.86,0.554,0.638,2,False,False
stabilizer ins 340,mineral,NULL,crystalline chemical,stabiliser,NULL,powder,acidity regulator,0,0.98,0.65,0,0.98,0.86,0.554,0.638,2,False,False
raising agents 341,mineral,NULL,crystalline chemical,raising agent,NULL,powder,stabiliser|acidity regulator,0,0.98,0.475,0,0.98,0.86,0.484,0.638,2,False,False
stabilizer ins 341,mineral,NULL,crystalline chemical,stabiliser,NULL,powder,acidity regulator,0,0.98,0.65,0,0.98,0.86,0.554,0.638,2,False,False
stabilizer ins 170,mineral,NULL,crystalline chemical,stabiliser,NULL,powder,firming agent|anticaking agent,0,0.98,0.65,0,0.98,0.85,0.554,0.634,2,False,False
sodium bicarbonate,synthetic,NULL,crystalline chemical,raising agent,NULL,powder,acidity regulator,0,0.98,0.475,0,0.98,0.86,0.484,0.638,2,False,False
citric acid powder,synthetic | corn,fermentation,powder,acidity regulator,drying,crystalline chemical,antioxidant|preservative,0.56,0.42,0.86,0.56,0.98,0.885,0.638,0.816,2,True,False
emulsifier ins 415,synthetic,NULL,emulsifier powder,emulsifier,NULL,powder,stabiliser|thickener,0,0.89,0.825,0,0.89,0.825,0.597,0.597,2,False,False
stabilizer ins 415,synthetic,NULL,emulsifier powder,stabiliser,NULL,powder,emulsifier|thickener,0,0.89,0.65,0,0.89,0.825,0.527,0.597,2,False,False
dhaniya distillate,coriander,NULL,extract/oleoresin,flavouring agent,distillation,NULL,taste profile / spice,0,0.86,0.675,0,0.86,0.675,0.528,0.528,2,False,False
orange peel powder,orange,drying,powder,taste profile / spice,NULL,NULL,flavouring agent,0.42,0.42,0.18,0.42,0.42,0.675,0.324,0.522,2,False,False
saffron flavouring,saffron,NULL,NULL,flavouring agent,NULL,extract/oleoresin|powder,taste profile / spice,0,0,0.675,0,0.86,0.675,0.27,0.528,1,True,False
maltitol ins 965 i,corn | wheat,NULL,crystalline chemical,sweetener|bulking agent,NULL,powder,humectant,0,0.98,0.625,0,0.98,0.625,0.544,0.544,2,False,False
proteins from whey,milk,NULL,protein concentrate,base ingredient,NULL,whey powder,NULL,0,0.74,0.12,0,0.74,0.12,0.27,0.27,1,False,False
whole ajwain seeds,ajwain,NULL,whole/fresh pieces,taste profile / spice,NULL,NULL,flavouring agent,0,0.05,0.18,0,0.05,0.675,0.087,0.285,1,False,False
carom seeds powder,ajwain,drying,powder,taste profile / spice,NULL,NULL,flavouring agent,0.42,0.42,0.18,0.42,0.42,0.675,0.324,0.522,2,False,False
emulsifier ins 442,rapeseed | soybean,NULL,emulsifier powder,emulsifier,NULL,NULL,NULL,0,0.89,0.825,0,0.89,0.825,0.597,0.597,2,False,False
krishna tulsi leaf,tulsi,NULL,whole/fresh pieces,taste profile / spice,NULL,NULL,flavouring agent,0,0.05,0.18,0,0.05,0.675,0.087,0.285,1,False,False
tulsi leaf extract,tulsi,solvent extraction,extract/oleoresin,flavouring agent,NULL,NULL,taste profile / spice,0.82,0.86,0.675,0.82,0.86,0.675,0.774,0.774,3,False,False
sella basmati rice,rice,NULL,NULL,base ingredient,NULL,NULL,NULL,0,0,0.12,0,0,0.12,0.048,0.048,1,False,False
white basmati rice,rice,NULL,NULL,base ingredient,NULL,NULL,NULL,0,0,0.12,0,0,0.12,0.048,0.048,1,False,False
roasted split gram,chickpea,roasting,cut/sliced pieces,base ingredient,NULL,NULL,NULL,0.58,0.1,0.12,0.58,0.1,0.12,0.252,0.252,1,False,False
black pepper whole,black pepper,drying,whole/fresh pieces,taste profile / spice,NULL,NULL,flavouring agent,0.42,0.05,0.18,0.42,0.05,0.675,0.213,0.411,1,True,False
dried blackcurrant,blackcurrant,drying,whole/fresh pieces,sweetener,NULL,NULL,taste profile / spice,0.42,0.05,0.625,0.42,0.05,0.625,0.391,0.391,2,False,False
clarified milk fat,milk,clarification,fat fraction,lipid base,churning,NULL,flavouring agent,0.55,0.72,0.22,0.55,0.72,0.675,0.469,0.651,2,False,False
stabilizer ins 466,wood pulp | cotton,NULL,powder,stabiliser,NULL,NULL,thickener|gelling agent,0,0.42,0.65,0,0.42,0.675,0.386,0.396,2,False,False
stabilizer ins 460,wood pulp,NULL,powder,stabiliser,NULL,NULL,thickener|gelling agent,0,0.42,0.65,0,0.42,0.675,0.386,0.396,2,False,False
green chilli paste,green chilli,NULL,pulp/puree,taste profile / spice,NULL,NULL,flavouring agent,0,0.25,0.18,0,0.25,0.675,0.147,0.345,1,True,False
green chilli puree,green chilli,NULL,pulp/puree,taste profile / spice,NULL,NULL,flavouring agent,0,0.25,0.18,0,0.25,0.675,0.147,0.345,1,True,False
kashmiri lal mirch,chilli,drying,powder,taste profile / spice,NULL,whole/fresh pieces,colour,0.42,0.42,0.18,0.42,0.42,0.8,0.324,0.572,2,False,False
dried green chilli,green chilli,drying,whole/fresh pieces,taste profile / spice,NULL,NULL,flavouring agent,0.42,0.05,0.18,0.42,0.05,0.675,0.213,0.411,1,True,False
coconut components,coconut,NULL,NULL,base ingredient,NULL,NULL,NULL,0,0,0.12,0,0,0.12,0.048,0.048,1,False,False
desiccated coconut,coconut,drying,flakes,base ingredient,NULL,NULL,NULL,0.42,0.36,0.12,0.42,0.36,0.12,0.282,0.282,1,False,False
cumin seeds powder,cumin,drying,powder,taste profile / spice,NULL,NULL,flavouring agent,0.42,0.42,0.18,0.42,0.42,0.675,0.324,0.522,2,False,False
disodium guanylate,synthetic,NULL,crystalline chemical,flavouring agent,NULL,NULL,NULL,0,0.98,0.675,0,0.98,0.675,0.564,0.564,2,False,False
flavouring ins 627,synthetic,synthetic flavors,NULL,flavouring agent,NULL,NULL,NULL,0.99,0,0.675,0.99,0,0.675,0.567,0.567,2,False,False
disodium inosinate,synthetic,NULL,crystalline chemical,flavouring agent,NULL,NULL,NULL,0,0.98,0.675,0,0.98,0.675,0.564,0.564,2,False,False
flavouring ins 631,synthetic,synthetic flavors,NULL,flavouring agent,NULL,NULL,NULL,0.99,0,0.675,0.99,0,0.675,0.567,0.567,2,False,False
acacia gum ins 414,acacia,NULL,gum,stabiliser,NULL,NULL,thickener|gelling agent,0,0,0.65,0,0,0.675,0.26,0.27,1,False,False
emulsifier ins 414,acacia,NULL,gum,emulsifier,NULL,emulsifier powder,stabiliser|thickener|gelling agent,0,0,0.825,0,0.89,0.825,0.33,0.597,2,False,False
stabilizer ins 414,acacia,NULL,gum,stabiliser,NULL,powder,thickener|gelling agent,0,0,0.65,0,0.42,0.675,0.26,0.396,1,True,False
emulsifier ins 400,synthetic,NULL,emulsifier powder,emulsifier,NULL,NULL,stabiliser,0,0.89,0.825,0,0.89,0.825,0.597,0.597,2,False,False
emulsifier ins 429,soybean | sunflower,NULL,emulsifier powder,emulsifier,NULL,NULL,stabiliser,0,0.89,0.825,0,0.89,0.825,0.597,0.597,2,False,False
emulsifier ins 436,synthetic,NULL,emulsifier powder,emulsifier,NULL,NULL,stabiliser,0,0.89,0.825,0,0.89,0.825,0.597,0.597,2,False,False
emulsifier ins 478,palm | soybean | sunflower,NULL,emulsifier powder,emulsifier,NULL,NULL,stabiliser,0,0.89,0.825,0,0.89,0.825,0.597,0.597,2,False,False
emulsifier ins 479,palm | soybean | sunflower,NULL,emulsifier powder,emulsifier,NULL,NULL,stabiliser,0,0.89,0.825,0,0.89,0.825,0.597,0.597,2,False,False
emulsifier ins 481,synthetic,NULL,emulsifier powder,emulsifier,NULL,NULL,stabiliser,0,0.89,0.825,0,0.89,0.825,0.597,0.597,2,False,False
stabilizer ins 400,synthetic,NULL,powder,stabiliser,NULL,NULL,thickener|gelling agent,0,0.42,0.65,0,0.42,0.675,0.386,0.396,2,False,False
stabilizer ins 436,synthetic,NULL,powder,stabiliser,NULL,NULL,thickener|gelling agent,0,0.42,0.65,0,0.42,0.675,0.386,0.396,2,False,False
stabilizer ins 481,synthetic,NULL,powder,stabiliser,NULL,NULL,thickener|gelling agent,0,0.42,0.65,0,0.42,0.675,0.386,0.396,2,False,False
emulsifier ins 491,sorbitol | palm,NULL,emulsifier powder,emulsifier,NULL,NULL,stabiliser,0,0.89,0.825,0,0.89,0.825,0.597,0.597,2,False,False
stabilizer ins 491,sorbitol | palm,NULL,powder,stabiliser,NULL,NULL,thickener|gelling agent,0,0.42,0.65,0,0.42,0.675,0.386,0.396,2,False,False
emulsifier ins 433,synthetic,NULL,emulsifier powder,emulsifier,NULL,NULL,stabiliser,0,0.89,0.825,0,0.89,0.825,0.597,0.597,2,False,False
stabilizer ins 433,synthetic,NULL,emulsifier powder,stabiliser,NULL,NULL,emulsifier,0,0.89,0.65,0,0.89,0.825,0.527,0.597,2,False,False
emulsifier ins 475,palm | soybean | sunflower,NULL,emulsifier powder,emulsifier,NULL,NULL,stabiliser,0,0.89,0.825,0,0.89,0.825,0.597,0.597,2,False,False
stabilizer ins 475,palm | soybean | sunflower,NULL,emulsifier powder,stabiliser,NULL,NULL,emulsifier,0,0.89,0.65,0,0.89,0.825,0.527,0.597,2,False,False
emulsifier ins 476,castor bean,NULL,emulsifier powder,emulsifier,NULL,NULL,stabiliser,0,0.89,0.825,0,0.89,0.825,0.597,0.597,2,False,False
emulsifier ins 477,palm | soybean | sunflower,NULL,emulsifier powder,emulsifier,NULL,NULL,stabiliser,0,0.89,0.825,0,0.89,0.825,0.597,0.597,2,False,False
stabilizer ins 477,palm | soybean | sunflower,NULL,emulsifier powder,stabiliser,NULL,NULL,emulsifier,0,0.89,0.65,0,0.89,0.825,0.527,0.597,2,False,False
emulsifier ins 492,sorbitol | palm,NULL,emulsifier powder,emulsifier,NULL,NULL,stabiliser,0,0.89,0.825,0,0.89,0.825,0.597,0.597,2,False,False
stabilizer ins 508,mineral,NULL,crystalline chemical,stabiliser,NULL,NULL,NULL,0,0.98,0.65,0,0.98,0.65,0.554,0.554,2,False,False
potassium chloride,mineral,NULL,crystalline chemical,base ingredient,NULL,NULL,NULL,0,0.98,0.12,0,0.98,0.12,0.342,0.342,2,False,False
stabilizer ins 516,mineral,NULL,crystalline chemical,stabiliser,NULL,NULL,NULL,0,0.98,0.65,0,0.98,0.65,0.554,0.554,2,False,False
milk fat desi ghee,milk,churning|clarification,fat fraction,lipid base,NULL,NULL,flavouring agent,0.55,0.72,0.22,0.55,0.72,0.675,0.469,0.651,2,False,False
humectant glycerol,palm | soybean | sunflower,NULL,NULL,humectant,NULL,NULL,NULL,0,0,0.425,0,0,0.425,0.17,0.17,1,False,False
emulsifier ins 445,pine resin,NULL,emulsifier powder,emulsifier,NULL,NULL,stabiliser,0,0.89,0.825,0,0.89,0.825,0.597,0.597,2,False,False
stabilizer ins 445,pine resin,NULL,emulsifier powder,stabiliser,NULL,NULL,emulsifier,0,0.89,0.65,0,0.89,0.825,0.527,0.597,2,False,False
grape seed extract,grape,solvent extraction,extract/oleoresin,NULL,NULL,NULL,antioxidant,0.82,0.86,0,0.82,0.86,0.875,0.504,0.854,2,True,False
elaichi flavouring,cardamom,NULL,NULL,flavouring agent,NULL,powder,taste profile / spice,0,0,0.675,0,0.42,0.675,0.27,0.396,1,True,False
green chilka moong,mung bean,NULL,whole/fresh pieces,base ingredient,NULL,NULL,NULL,0,0.05,0.12,0,0.05,0.12,0.063,0.063,1,False,False
stabilizer ins 412,guar bean,NULL,NULL,stabiliser,NULL,powder,thickener,0,0,0.65,0,0.42,0.65,0.26,0.386,1,True,False
khar alkaline salt,mineral,NULL,crystalline chemical,base ingredient,NULL,NULL,acidity regulator,0,0.98,0.12,0,0.98,0.86,0.342,0.638,2,False,False
sunflower lecithin,sunflower,solvent extraction,extract/oleoresin,emulsifier,NULL,NULL,NULL,0.82,0.86,0.825,0.82,0.86,0.825,0.834,0.834,3,False,False
emulsifier ins 322,soybean | sunflower,NULL,emulsifier powder,emulsifier,NULL,NULL,stabiliser,0,0.89,0.825,0,0.89,0.825,0.597,0.597,2,False,False
stabilizer ins 322,soybean | sunflower,NULL,emulsifier powder,stabiliser,NULL,NULL,emulsifier,0,0.89,0.65,0,0.89,0.825,0.527,0.597,2,False,False
lemon juice powder,lemon,?spray drying,powder,flavouring agent,NULL,juice,acidity regulator,0.42,0.42,0.675,0.42,0.5,0.86,0.522,0.62,2,False,True
lemon fruit powder,lemon,?spray drying,powder,flavouring agent,NULL,NULL,acidity regulator,0.42,0.42,0.675,0.42,0.42,0.86,0.522,0.596,2,False,True
long pepper powder,long pepper,NULL,powder,taste profile / spice,drying,NULL,flavouring agent,0,0.42,0.18,0.42,0.42,0.675,0.198,0.522,1,True,False
malic acid ins 296,apple,fermentation,crystalline chemical,acidity regulator,NULL,NULL,antioxidant|preservative,0.56,0.98,0.86,0.56,0.98,0.885,0.806,0.816,3,False,False
wheat maltodextrin,wheat,?hydrolysis,modified starch powder,bulking agent,NULL,NULL,thickener,0.6,0.96,0.375,0.6,0.96,0.615,0.618,0.714,2,True,True
manganese sulphate,mineral,NULL,crystalline chemical,NULL,NULL,NULL,NULL,0,0.98,0,0,0.98,0,0.294,0.294,1,False,False
milk solids casein,milk,NULL,protein concentrate,base ingredient,NULL,powder,NULL,0,0.74,0.12,0,0.74,0.12,0.27,0.27,1,False,False
monk fruit extract,monk fruit,solvent extraction,extract/oleoresin,sweetener,NULL,NULL,flavouring agent,0.82,0.86,0.625,0.82,0.86,0.675,0.754,0.774,3,False,False
emulsifier ins 471,palm | soybean | sunflower,NULL,emulsifier powder,emulsifier,NULL,NULL,stabiliser,0,0.89,0.825,0,0.89,0.825,0.597,0.597,2,False,False
stabilizer ins 471,palm | soybean | sunflower,NULL,emulsifier powder,stabiliser,NULL,NULL,emulsifier,0,0.89,0.65,0,0.89,0.825,0.527,0.597,2,False,False
dehydrated parsley,parsley,drying,NULL,taste profile / spice,NULL,powder,flavouring agent,0.42,0,0.18,0.42,0.42,0.675,0.198,0.522,1,True,False
emulsifier ins 440,apple | citrus,NULL,emulsifier powder,emulsifier,NULL,NULL,stabiliser|thickener|gelling agent,0,0.89,0.825,0,0.89,0.825,0.597,0.597,2,False,False
stabilizer ins 440,apple | citrus,NULL,emulsifier powder,stabiliser,NULL,NULL,emulsifier|thickener|gelling agent,0,0.89,0.65,0,0.89,0.825,0.527,0.597,2,False,False
stabilizer ins 435,synthetic,NULL,emulsifier powder,stabiliser,NULL,NULL,emulsifier,0,0.89,0.65,0,0.89,0.825,0.527,0.597,2,False,False
pomegranate powder,pomegranate,drying,powder,colour,NULL,NULL,antioxidant,0.42,0.42,0.8,0.42,0.42,0.875,0.572,0.602,2,False,False
pomegranate flower,pomegranate,NULL,whole/fresh pieces,taste profile / spice,drying,powder,flavouring agent|colour,0,0.05,0.18,0.42,0.42,0.8,0.087,0.572,1,True,False
bacillus coagulans,synthetic,fermentation,spore,NULL,NULL,NULL,?probiotic,0.56,0,0,0.56,0,0,0.168,0.168,1,False,True
flattened red rice,rice,NULL,flakes,base ingredient,NULL,NULL,NULL,0,0.36,0.12,0,0.36,0.12,0.156,0.156,1,False,False
safflower seed oil,safflower,cold pressing|solvent extraction,oil,lipid base,refining,NULL,NULL,0.82,0.7,0.22,0.82,0.7,0.22,0.544,0.544,2,False,False
stabilizer ins 401,seaweed,NULL,NULL,stabiliser,NULL,powder,thickener|gelling agent,0,0,0.65,0,0.42,0.675,0.26,0.396,1,True,False
stabilizer ins 331,synthetic,NULL,crystalline chemical,stabiliser,NULL,NULL,acidity regulator|sequestrant,0,0.98,0.65,0,0.98,0.91,0.554,0.658,2,False,False
emulsifier ins 420,corn | tapioca,NULL,emulsifier powder,emulsifier,NULL,NULL,stabiliser|sweetener|humectant,0,0.89,0.825,0,0.89,0.825,0.597,0.597,2,False,False
dehydrated spinach,spinach,drying,NULL,base ingredient,NULL,powder,NULL,0.42,0,0.12,0.42,0.42,0.12,0.174,0.3,1,True,False
stabilizer ins 444,synthetic,NULL,crystalline chemical,stabiliser,NULL,emulsifier powder,emulsifier,0,0.98,0.65,0,0.98,0.825,0.554,0.624,2,False,False
stabilizer ins 417,tara tree,NULL,NULL,stabiliser,NULL,emulsifier powder,emulsifier,0,0,0.65,0,0.89,0.825,0.26,0.597,1,True,False
stabilizer ins 337,synthetic,NULL,crystalline chemical,stabiliser,NULL,NULL,acidity regulator,0,0.98,0.65,0,0.98,0.86,0.554,0.638,2,False,False
vanilla flavouring,vanilla,synthetic flavors,extract/oleoresin,flavouring agent,NULL,NULL,taste profile / spice,0.99,0.86,0.675,0.99,0.86,0.675,0.825,0.825,3,False,False
bacche di vaniglia,vanilla,NULL,whole/fresh pieces,taste profile / spice,NULL,NULL,flavouring agent,0,0.05,0.18,0,0.05,0.675,0.087,0.285,1,False,False
gousses de vanille,vanilla,NULL,whole/fresh pieces,taste profile / spice,NULL,NULL,flavouring agent,0,0.05,0.18,0,0.05,0.675,0.087,0.285,1,False,False
vanilla flavouring,vanilla,synthetic flavors,extract/oleoresin,flavouring agent,NULL,NULL,taste profile / spice,0.99,0.86,0.675,0.99,0.86,0.675,0.825,0.825,3,False,False
vamilla flavouring,vanilla,synthetic flavors,extract/oleoresin,flavouring agent,NULL,NULL,taste profile / spice,0.99,0.86,0.675,0.99,0.86,0.675,0.825,0.825,3,False,False
ammonium hydroxide,synthetic,NULL,crystalline chemical,acidity regulator,NULL,NULL,NULL,0,0.98,0.86,0,0.98,0.86,0.638,0.638,2,False,False
basa pangasius sp.,basa,NULL,whole/fresh pieces,base ingredient,NULL,cut/sliced pieces,NULL,0,0.05,0.12,0,0.1,0.12,0.063,0.078,1,False,False
custard flavouring,synthetic,synthetic flavors,powder,flavouring agent,NULL,NULL,taste profile / spice,0.99,0.42,0.675,0.99,0.42,0.675,0.693,0.693,2,False,False
stabilizer ins 472,palm | soybean | sunflower,interesterification,emulsifier powder,emulsifier|stabiliser,NULL,NULL,NULL,0.91,0.89,0.825,0.91,0.89,0.825,0.87,0.87,3,False,False
khus roots extract,khus,solvent extraction,extract/oleoresin,flavouring agent,NULL,essential oil,taste profile / spice,0.82,0.86,0.675,0.82,0.9,0.675,0.774,0.786,3,False,False
distillate of khas,khas,distillation,essential oil,flavouring agent,NULL,extract/oleoresin,taste profile / spice,0,0.9,0.675,0,0.9,0.675,0.54,0.54,2,False,False
distillate of khus,khus,distillation,essential oil,flavouring agent,NULL,extract/oleoresin,taste profile / spice,0,0.9,0.675,0,0.9,0.675,0.54,0.54,2,False,False
stabilizer ins 418,synthetic,NULL,crystalline chemical,stabiliser,NULL,emulsifier powder,emulsifier,0,0.98,0.65,0,0.98,0.825,0.554,0.624,2,False,False
stabilizer ins 406,seaweed,NULL,NULL,stabiliser|gelling agent,NULL,powder,thickener,0,0,0.675,0,0.42,0.675,0.27,0.396,1,True,False
glutamine peptides,synthetic,NULL,protein concentrate,base ingredient,?hydrolysis,powder,NULL,0,0.74,0.12,0.6,0.74,0.12,0.27,0.45,1,True,True
munakka flavouring,munakka,NULL,extract/oleoresin,flavouring agent,NULL,NULL,taste profile / spice,0,0.86,0.675,0,0.86,0.675,0.528,0.528,2,False,False
munakka distillate,munakka,distillation,essential oil,flavouring agent,NULL,extract/oleoresin,taste profile / spice,0,0.9,0.675,0,0.9,0.675,0.54,0.54,2,False,False
propellant ins 941,synthetic,NULL,NULL,propellant,NULL,NULL,packaging gas,0,0,0.95,0,0,0.95,0.38,0.38,2,False,False
tulsi leaf extract,tulsi,solvent extraction,extract/oleoresin,flavouring agent,NULL,essential oil,taste profile / spice,0.82,0.86,0.675,0.82,0.9,0.675,0.774,0.786,3,False,False
cod liver fish oil,cod,solvent extraction,oil,lipid base,NULL,NULL,NULL,0.82,0.7,0.22,0.82,0.7,0.22,0.544,0.544,2,False,False
vegetable fats shea,shea,NULL,fat fraction,lipid base,NULL,oil,NULL,0,0.72,0.22,0,0.72,0.22,0.304,0.304,2,False,False
