variant,source,variant_signal_class,class_count,noise_or_signal
rosemary extract,rosemary,"canonical_form, form_signal",2,signal
sodium molybdate,mineral,grade_signal,1,signal
soy sauce powder,soybean | wheat,"form_signal, multi_source",2,signal
star anise seeds,star anise,"form_signal, grade_signal",2,signal
watermelon seeds,watermelon,"canonical_form, form_signal, grade_signal",3,signal
blackberry puree,blackberry,"linguistic_signal, canonical_form, form_signal",3,signal
sodium caseinate,milk,grade_signal,1,signal
cultured glucose,corn | tapioca,"process_signal, multi_source",2,signal
gajar flavouring,carrot,form_signal,1,signal
microbial enzyme,synthetic,"form_signal, grade_signal",2,signal
glucuronolactone,synthetic | corn,multi_source,1,signal
sourdough powder,wheat,form_signal,1,signal
sardine fish oil,sardine,"canonical_form, form_signal",2,signal
refined palmolein,palm,process_signal,1,signal
bakery shortening,palm | soybean | groundnut,multi_source,1,signal
hydrogenated oils,palm | soybean | groundnut,"form_signal, process_signal, multi_source",3,signal
sauvarchalalavana,mineral,orthographic_noise,1,noise
dehydrated carrot,carrot,"canonical_form, process_signal",2,signal
carrot flavouring,carrot,"canonical_form, form_signal",2,signal
dehydrated garlic,garlic,"canonical_form, process_signal",2,signal
garlic flavouring,garlic,"canonical_form, form_signal",2,signal
corn syrup solids,corn,"canonical_form, form_signal",2,signal
candy sugar syrup,sugarcane,"redundant_variant, form_signal",2,mixed
pasta di nocciole,hazelnut,linguistic_signal,1,signal
purée de noisette,hazelnut,linguistic_signal,1,signal
roasted hazelnuts,hazelnut,process_signal,1,signal
haselnüsse türkei,hazelnut,linguistic_signal,1,signal
noisettes turquie,hazelnut,linguistic_signal,1,signal
magnesium sulfate,mineral,"form_signal, grade_signal",2,signal
magnesium taurate,mineral,grade_signal,1,signal
whole milk powder,milk,"canonical_form, form_signal, grade_signal",3,signal
camel milk powder,camel milk,"form_signal, grade_signal",2,signal
standardised milk,milk,"orthographic_noise, redundant_variant, canonical_form, form_signal, process_signal",5,mixed
pudina flavouring,mint,"transliteration_signal, form_signal",2,signal
soya bean extract,soybean,form_signal,1,signal
steviol glycoside,stevia,form_signal,1,signal
strawberry powder,strawberry,"canonical_form, form_signal",2,signal
candy sugar syrup,sugarcane,"redundant_variant, form_signal",2,mixed
husked black gram,black gram,grade_signal,1,signal
distilled vinegar,sugarcane,form_signal,1,signal
synthetic vinegar,synthetic,"canonical_form, form_signal, process_signal",3,signal
flax seed extract,flax,"canonical_form, form_signal, grade_signal",3,signal
almond flavouring,almond,"canonical_form, form_signal, grade_signal",3,signal
acidity regulator,synthetic | mineral,multi_source,1,signal
asafoetida powder,asafoetida,"canonical_form, form_signal",2,signal
stabilizer ns 415,corn,compound_noise,1,noise
coriander extract,coriander,"canonical_form, form_signal",2,signal
citrus pulp cells,citrus,"redundant_variant, canonical_form, grade_signal",3,mixed
orange pulp cells,orange,"redundant_variant, canonical_form, grade_signal",3,mixed
orange flavouring,orange,"canonical_form, form_signal",2,signal
double toned milk,milk,"canonical_form, form_signal, process_signal, grade_signal",4,signal
standardised milk,milk,"orthographic_noise, redundant_variant, canonical_form, form_signal, process_signal",5,mixed
standardized milk,milk,"orthographic_noise, canonical_form, form_signal, process_signal",4,mixed
antifoaming agent,synthetic,form_signal,1,signal
anticaking agents,mineral,form_signal,1,signal
coffee flavouring,coffee,"canonical_form, form_signal",2,signal
dry cassia leaves,cassia,"canonical_form, form_signal, process_signal, grade_signal",4,signal
bengal gram flour,bengal gram,"form_signal, grade_signal",2,signal
bengal gram grits,bengal gram,"form_signal, grade_signal",2,signal
split bengal gram,bengal gram,grade_signal,1,signal
black pepper bits,black pepper,grade_signal,1,signal
red chilli flakes,red chilli,"orthographic_noise, form_signal, grade_signal",3,mixed
red chilli powder,red chilli,"orthographic_noise, form_signal, grade_signal",3,mixed
red chilly flakes,red chilli,"orthographic_noise, form_signal, grade_signal",3,mixed
red chilly powder,red chilli,"orthographic_noise, form_signal, grade_signal",3,mixed
citrus pulp cells,citrus,"redundant_variant, canonical_form, grade_signal",3,mixed
orange pulp cells,orange,"redundant_variant, canonical_form, grade_signal",3,mixed
candied cranberry,cranberry,canonical_form,1,signal
green gram flakes,green gram,"form_signal, grade_signal",2,signal
husked green gram,green gram,grade_signal,1,signal
whole green moong,green gram,"transliteration_signal, grade_signal",2,signal
moong dal protein,green gram,"transliteration_signal, form_signal",2,signal
green tea extract,green tea,"form_signal, grade_signal",2,signal
dehydrated kachri,kachri,"canonical_form, process_signal",2,signal
litchi flavouring,litchi,"canonical_form, form_signal",2,signal
corn maltodextrin,corn,canonical_form,1,signal
origanum majorana,marjoram,linguistic_signal,1,signal
pomegranate juice,pomegranate,"canonical_form, form_signal",2,signal
pomegranate seeds,pomegranate,"canonical_form, form_signal, grade_signal",3,signal
star anise powder,star anise,form_signal,1,signal
vegetable protein,soybean | groundnut | pea,"form_signal, multi_source",2,signal
ro-purified water,water,"canonical_form, form_signal",2,signal
whole wheat flour,wheat,"redundant_variant, canonical_form, form_signal, grade_signal",4,mixed
whole wheat flour,wheat,"redundant_variant, canonical_form, form_signal, grade_signal",4,mixed
black truffle oil,truffle,"canonical_form, form_signal, grade_signal",3,signal
calcium caseinate,milk,"grade_signal, fortification_signal",2,signal
cantaloupe powder,cantaloupe,"canonical_form, form_signal",2,signal
trans fatty acids,palm | soybean | groundnut,multi_source,1,signal
pueraria tuberosa,pueraria tuberosa,canonical_form,1,signal
red currant dices,red currant,"form_signal, grade_signal",2,signal
red currant puree,red currant,"linguistic_signal, form_signal, grade_signal",3,signal
sunflower creamer,sunflower,canonical_form,1,signal
wheatgrass powder,wheatgrass,"canonical_form, form_signal",2,signal
improver xylanase,trichoderma reesei,unclassified,1,unclassified
sauvarchala lavana,mineral,orthographic_noise,1,noise
common edible salt,mineral,"form_signal, grade_signal",2,signal
edible common salt,mineral,"form_signal, grade_signal",2,signal
edible maze starch,corn,"form_signal, grade_signal",2,signal
sweet cream powder,milk,"form_signal, grade_signal",2,signal
high maltose syrup,corn | tapioca,"form_signal, multi_source",2,signal
magnesium stearate,mineral | palm,"grade_signal, multi_source",2,signal
dried mango powder,mango,"canonical_form, form_signal, process_signal",3,signal
mango fruit powder,mango,"canonical_form, form_signal",2,signal
mango juice powder,mango,"canonical_form, form_signal",2,signal
dried mango slices,mango,"canonical_form, process_signal, grade_signal",3,signal
dried skimmed milk,milk,"canonical_form, form_signal, process_signal, grade_signal",4,signal
whole grain saamai,saamai,"canonical_form, form_signal, grade_signal",3,signal
dextrose anhydrous,corn | tapioca,"form_signal, multi_source",2,signal
invert sugar syrup,sugarcane,"orthographic_noise, form_signal",2,mixed
split black lentil,lentil,"canonical_form, grade_signal",2,signal
sushi rice vinegar,rice,"canonical_form, form_signal",2,signal
acidity regulators,synthetic | corn,multi_source,1,signal
dhaniya distillate,coriander,form_signal,1,signal
orange peel powder,orange,"canonical_form, form_signal, grade_signal",3,signal
saffron flavouring,saffron,"canonical_form, form_signal",2,signal
proteins from whey,milk,form_signal,1,signal
whole ajwain seeds,ajwain,"transliteration_signal, canonical_form, form_signal, grade_signal",4,signal
carom seeds powder,ajwain,"form_signal, grade_signal",2,signal
krishna tulsi leaf,tulsi,"transliteration_signal, canonical_form, form_signal, grade_signal",4,signal
tulsi leaf extract,tulsi,"redundant_variant, transliteration_signal, canonical_form, form_signal, grade_signal",5,mixed
sella basmati rice,rice,canonical_form,1,signal
white basmati rice,rice,"canonical_form, grade_signal",2,signal
roasted split gram,chickpea,"process_signal, grade_signal",2,signal
black pepper whole,black pepper,grade_signal,1,signal
dried blackcurrant,blackcurrant,"canonical_form, process_signal",2,signal
clarified milk fat,milk,"canonical_form, form_signal, process_signal",3,signal
green chilli paste,green chilli,"form_signal, grade_signal",2,signal
green chilli puree,green chilli,"linguistic_signal, form_signal, grade_signal",3,signal
kashmiri lal mirch,chilli,grade_signal,1,signal
dried green chilli,green chilli,"process_signal, grade_signal",2,signal
coconut components,coconut,canonical_form,1,signal
desiccated coconut,coconut,canonical_form,1,signal
cumin seeds powder,cumin,"canonical_form, form_signal, grade_signal",3,signal
disodium guanylate,synthetic,grade_signal,1,signal
disodium inosinate,synthetic,grade_signal,1,signal
milk fat desi ghee,milk,"transliteration_signal, canonical_form, form_signal",3,signal
grape seed extract,grape,"canonical_form, form_signal, grade_signal",3,signal
elaichi flavouring,cardamom,"transliteration_signal, form_signal",2,signal
green chilka moong,mung bean,"transliteration_signal, grade_signal",2,signal
khar alkaline salt,mineral,"transliteration_signal, form_signal, grade_signal",3,signal
sunflower lecithin,sunflower,canonical_form,1,signal
lemon juice powder,lemon,"canonical_form, form_signal",2,signal
lemon fruit powder,lemon,"canonical_form, form_signal",2,signal
long pepper powder,long pepper,form_signal,1,signal
wheat maltodextrin,wheat,canonical_form,1,signal
milk solids casein,milk,"canonical_form, form_signal",2,signal
monk fruit extract,monk fruit,form_signal,1,signal
dehydrated parsley,parsley,"canonical_form, process_signal",2,signal
pomegranate powder,pomegranate,"canonical_form, form_signal",2,signal
pomegranate flower,pomegranate,canonical_form,1,signal
bacillus coagulans,synthetic,linguistic_signal,1,signal
flattened red rice,rice,"canonical_form, process_signal, grade_signal",3,signal
safflower seed oil,safflower,"canonical_form, form_signal, grade_signal",3,signal
dehydrated spinach,spinach,"canonical_form, process_signal",2,signal
vanilla flavouring,vanilla,"orthographic_noise, redundant_variant, canonical_form, form_signal",4,mixed
bacche di vaniglia,vanilla,linguistic_signal,1,signal
gousses de vanille,vanilla,linguistic_signal,1,signal
vanilla flavouring,vanilla,"orthographic_noise, redundant_variant, canonical_form, form_signal",4,mixed
vamilla flavouring,vanilla,"orthographic_noise, form_signal",2,mixed
basa pangasius sp.,basa,"canonical_form, grade_signal",2,signal
custard flavouring,synthetic,form_signal,1,signal
khus roots extract,khus,"canonical_form, form_signal",2,signal
distillate of khas,khas,"canonical_form, form_signal",2,signal
distillate of khus,khus,"canonical_form, form_signal",2,signal
glutamine peptides,synthetic,form_signal,1,signal
munakka flavouring,munakka,"canonical_form, form_signal",2,signal
munakka distillate,munakka,"canonical_form, form_signal",2,signal
tulsi leaf extract,tulsi,"redundant_variant, transliteration_signal, canonical_form, form_signal, grade_signal",5,mixed
cod liver fish oil,cod,"canonical_form, form_signal",2,signal
vegetable fats shea,shea,"canonical_form, form_signal",2,signal
himalayan pink salt,mineral,"form_signal, grade_signal",2,signal
tropical flavouring,synthetic,"form_signal, grade_signal",2,signal
organic ginger root,ginger,"canonical_form, form_signal, process_signal",3,signal
dried ginger powder,ginger,"canonical_form, form_signal, process_signal",3,signal
dried glucose syrup,corn | tapioca,"form_signal, process_signal, multi_source",3,signal
hazelnut flavouring,hazelnut,"canonical_form, form_signal, grade_signal",3,signal
refined wheat flour,wheat,"canonical_form, form_signal, process_signal",3,signal
alphonso mango pulp,mango,"canonical_form, grade_signal",2,signal
skimmed milk powder,milk,"canonical_form, form_signal, process_signal, grade_signal",4,signal
coconut milk powder,coconut,"canonical_form, form_signal",2,signal
defatted soya flour,soybean,"form_signal, process_signal",2,signal
soya flour defatted,soybean,"form_signal, process_signal",2,signal
soy protein isolate,soybean,"orthographic_noise, form_signal",2,mixed
rawberry flavouring,synthetic,form_signal,1,signal
sunflower fruit oil,sunflower,"canonical_form, form_signal",2,signal
vital wheat protein,wheat,"canonical_form, form_signal, grade_signal",3,signal
organic fennel seed,fennel,"canonical_form, form_signal, process_signal, grade_signal",4,signal
partly skimmed milk,milk,"canonical_form, form_signal, process_signal, grade_signal",4,signal
malted barley flour,barley,"canonical_form, form_signal, process_signal",3,signal
basmati rice grains,rice,"canonical_form, form_signal",2,signal
cluster bean powder,cluster bean,form_signal,1,signal
big cardamom powder,cardamom,"canonical_form, form_signal",2,signal
black pepper powder,black pepper,"form_signal, grade_signal",2,signal
butterscotch pieces,milk | sugarcane,"grade_signal, multi_source",2,signal
cauliflower florets,cauliflower,canonical_form,1,signal
malt extract solids,barley,form_signal,1,signal
green chilli flakes,chilli,"canonical_form, form_signal, grade_signal",3,signal
roasted cumin seeds,cumin,"canonical_form, form_signal, process_signal, grade_signal",4,signal
emulsifier tween 80,palm | soybean | sunflower,"compound_noise, multi_source",2,mixed
cardamom flavouring,cardamom,"canonical_form, form_signal",2,signal
candied lemon peels,lemon,"canonical_form, form_signal",2,signal
whole dew bean moth,moth bean,grade_signal,1,signal
parsley leaf powder,parsley,"canonical_form, form_signal, grade_signal",3,signal
pea protein isolate,pea,"canonical_form, form_signal",2,signal
sichuan pepper corn,sichuan peppercorn,canonical_form,1,signal
flattened rice poha,rice,"transliteration_signal, canonical_form, process_signal",3,signal
rosemary flavouring,rosemary,"canonical_form, form_signal",2,signal
vanillin flavouring,synthetic,form_signal,1,signal
white pepper powder,white peppercorn,"form_signal, grade_signal",2,signal
asparagus recemosus,asparagus recemosus,canonical_form,1,signal
sweet potato starch,sweet potato,"form_signal, grade_signal",2,signal
dioscores bulbifera,dioscorea bulbifera,canonical_form,1,signal
distillate of gajar,carrot,form_signal,1,signal
distillate of kasni,kasni,"canonical_form, form_signal",2,signal
vegetable shortening,palm | soybean | groundnut,multi_source,1,signal
edible vegetable fat,palm | soybean | sunflower | groundnut,"form_signal, grade_signal, multi_source",3,signal
edible vegetable oil,palm | soybean | sunflower | groundnut,"orthographic_noise, form_signal, grade_signal, multi_source",4,mixed
edible vegeteble oil,palm | soybean | sunflower | groundnut,"orthographic_noise, form_signal, grade_signal, multi_source",4,mixed
raw mango flavouring,mango,"canonical_form, form_signal, grade_signal",3,signal
milkotin milk solids,milk,"canonical_form, form_signal",2,signal
foxtail millet flour,foxtail millet,"form_signal, grade_signal",2,signal
sorghum millet flour,sorghum,"canonical_form, form_signal",2,signal
pistachio flavouring,pistachio,"canonical_form, form_signal, grade_signal",3,signal
refined ricebran oil,rice,"orthographic_noise, form_signal, process_signal",3,mixed
refined soyabean oil,soybean,"form_signal, process_signal",2,signal
soya protein isolate,soybean,"orthographic_noise, form_signal",2,mixed
inverter sugar syrup,sugarcane,"orthographic_noise, form_signal",2,mixed
compounded asafetida,asafoetida | wheat,multi_source,1,signal
yeast extract powder,yeast,"canonical_form, form_signal, grade_signal",3,signal
petit-lait en poudre,milk,canonical_form,1,signal
acesulfame potassium,synthetic,grade_signal,1,signal
dahi starter culture,milk,"transliteration_signal, form_signal",2,signal
lactic acid ferments,synthetic,unclassified,1,unclassified
enzyme alpha amylase,aspergillus oryzae | barley,"form_signal, multi_source",2,signal
coffee beans arabica,coffee,"canonical_form, form_signal, grade_signal",3,signal
coffee beans robusta,coffee,"canonical_form, form_signal, grade_signal",3,signal
chickpea flour besan,chickpea,"transliteration_signal, canonical_form, form_signal",3,signal
large cardamom whole,cardamom,"canonical_form, grade_signal",2,signal
blueberry flavouring,blueberry,"canonical_form, form_signal",2,signal
cottage cheese chena,milk,"form_signal, grade_signal",2,signal
chocolate flavouring,cocoa,form_signal,1,signal
cranberry flavouring,cranberry,"canonical_form, form_signal",2,signal
roasted cumin powder,cumin,"canonical_form, form_signal, process_signal",3,signal
ferric pyrophosphate,mineral,grade_signal,1,signal
monosodium glutamate,synthetic | sugarcane | corn,"grade_signal, multi_source",2,signal
pharmaceutical glaze,lac beetle,unclassified,1,unclassified
split chickpea flour,chickpea,"canonical_form, form_signal, grade_signal",3,signal
green tea flavouring,green tea,"form_signal, grade_signal",2,signal
split yellow lentils,lentil,grade_signal,1,signal
roasted mustard seed,mustard,"orthographic_noise, canonical_form, form_signal, process_signal, grade_signal",5,mixed
toasted onion flakes,onion,"canonical_form, form_signal, process_signal",3,signal
toasted onion powder,onion,"canonical_form, form_signal, process_signal",3,signal
vitamins pantothenol,synthetic,unclassified,1,unclassified
pineapple flavouring,pineapple,"canonical_form, form_signal",2,signal
pyridoxine hydroxide,synthetic,unclassified,1,unclassified
glutinous rice flour,rice,"canonical_form, form_signal",2,signal
thiamine mononitrate,synthetic,"redundant_variant, fortification_signal",2,mixed
thiamin hydrohloride,synthetic,unclassified,1,unclassified
thiamine mononitrate,synthetic,"redundant_variant, fortification_signal",2,mixed
processed gooseberry,gooseberry,"canonical_form, process_signal",2,signal
vitamins vitamin b12,synthetic,fortification_signal,1,signal
bubblegum flavouring,synthetic,form_signal,1,signal
creatine monohydrate,synthetic,unclassified,1,unclassified
psyllium husk powder,psyllium,"canonical_form, form_signal",2,signal
guarana seed extract,guarana,"canonical_form, form_signal, grade_signal",3,signal
water chestnut flour,water chestnut,form_signal,1,signal
refined palmolein oil,palm,"form_signal, process_signal",2,signal
hydrogenated palm oil,palm,"canonical_form, form_signal, process_signal",3,signal
hydrogenated palm fat,palm,"canonical_form, form_signal, process_signal",3,signal
edible vegetable fats,palm | soybean | groundnut | sunflower,"form_signal, grade_signal, multi_source",3,signal
refined vegetable oil,palm | soybean | sunflower | groundnut,"form_signal, process_signal, multi_source",3,signal
modified maize starch,corn,"form_signal, process_signal",2,signal
modified starch maize,corn,"form_signal, process_signal",2,signal
roasted garlic flakes,garlic,"canonical_form, form_signal, process_signal",3,signal
lait ecreme en poudre,milk,linguistic_signal,1,signal
lait entier en poudre,milk,linguistic_signal,1,signal
refined rice bran oil,rice,"orthographic_noise, canonical_form, form_signal, process_signal",4,mixed
strawberry flavouring,strawberry,"canonical_form, form_signal",2,signal
refined sunflower oil,sunflower,"canonical_form, form_signal, process_signal",3,signal
acidity regulator ins,synthetic,orthographic_noise,1,noise
acidity regulators ns,synthetic,orthographic_noise,1,noise
dipotassium phosphate,mineral,"form_signal, grade_signal",2,signal
compounded asafoetida,asafoetida,canonical_form,1,signal
asafootida flavouring,asafoetida,form_signal,1,signal
fenugreek leaf powder,fenugreek,"canonical_form, form_signal, grade_signal",3,signal
coriander seed powder,coriander,"canonical_form, form_signal, grade_signal",3,signal
haldi turmeric powder,turmeric,"transliteration_signal, canonical_form, form_signal",3,signal
pasturised toned milk,milk,"orthographic_noise, canonical_form, form_signal, process_signal, grade_signal",5,mixed
pasteurised amul milk,milk,"canonical_form, form_signal, process_signal",3,signal
active lactic culture,milk,"orthographic_noise, form_signal",2,mixed
live bacteria culture,milk,form_signal,1,signal
soluble coffee powder,coffee,"canonical_form, form_signal, process_signal",3,signal
artificial flavouring,synthetic,"form_signal, process_signal",2,signal
black cardamom powder,cardamom,"canonical_form, form_signal, grade_signal",3,signal
large cardamom powder,cardamom,"canonical_form, form_signal, grade_signal",3,signal
indian cottage cheese,milk,"form_signal, grade_signal",2,signal
paneer cottage cheese,milk,"transliteration_signal, form_signal, grade_signal",3,signal
romano cheese enzymes,milk,form_signal,1,signal
mono sodium glutamate,synthetic,grade_signal,1,signal
ghee clarified butter,milk,"transliteration_signal, form_signal, process_signal",3,signal
green cardamom powder,cardamom,"canonical_form, form_signal, grade_signal",3,signal
refined groundnut oil,groundnut,"canonical_form, form_signal, process_signal",3,signal
nimbu pani flavouring,lemon,form_signal,1,signal
roasted mustard seeds,mustard,"orthographic_noise, canonical_form, form_signal, process_signal, grade_signal",5,mixed
sichuan pepper powder,sichuan pepper,form_signal,1,signal
soya sauce flavouring,soybean | wheat,"form_signal, multi_source",2,signal
antioxidant vitamin d,lanolin | fish liver oil,"fortification_signal, multi_source",2,signal
vapor distilled water,water,"canonical_form, form_signal",2,signal
reverse osmosis water,water,"canonical_form, form_signal",2,signal
acai berry flavouring,acai,"canonical_form, form_signal, grade_signal",3,signal
black truffle extract,truffle,"canonical_form, form_signal, grade_signal",3,signal
croscarmellose sodium,wood,grade_signal,1,signal
cultured sweet potato,sweet potato,"process_signal, grade_signal",2,signal
enzyme blend digezyme,aspergillus oryzae | rice,"form_signal, grade_signal, multi_source",3,signal
fructooligosaccharide,sugarcane | chicory,multi_source,1,signal
saturated fatty acids,palm | coconut | milk,multi_source,1,signal
shankhapushpi extract,shankhapushpi,"canonical_form, form_signal",2,signal
hydrogenated table oil,palm | soybean | groundnut,"form_signal, process_signal, grade_signal, multi_source",4,signal
dehydrated carrot bits,carrot,"canonical_form, process_signal, grade_signal",3,signal
dehydrated garlic bits,garlic,"canonical_form, process_signal, grade_signal",3,signal
organic ginger rhizome,ginger,"canonical_form, process_signal, grade_signal",3,signal
split black gram flour,black gram,"form_signal, grade_signal",2,signal
filtered flax seed oil,flax,"canonical_form, form_signal, process_signal, grade_signal",4,signal
dried fenugreek leaves,fenugreek,"canonical_form, form_signal, process_signal, grade_signal",4,signal
dried coriander leaves,coriander,"canonical_form, form_signal, process_signal, grade_signal",4,signal
ground coriander seeds,coriander,"canonical_form, form_signal, process_signal, grade_signal",4,signal
pasteurised toned milk,milk,"orthographic_noise, canonical_form, form_signal, process_signal, grade_signal",5,mixed
standardized milk curd,milk,"canonical_form, form_signal, process_signal",3,signal
active lactic cultures,milk,orthographic_noise,1,noise
bifidobacterium lactis,milk,unclassified,1,unclassified
marinated paneer dices,milk,"transliteration_signal, form_signal",2,signal
cacao magro in polvere,cocoa,linguistic_signal,1,signal
cacao maigre en poudre,cocoa,linguistic_signal,1,signal
condensed skimmed milk,milk,"canonical_form, form_signal, process_signal, grade_signal",4,signal
refined cottonseed oil,cottonseed,"orthographic_noise, canonical_form, form_signal, process_signal",4,mixed
kiwi juice concentrate,kiwi,"canonical_form, form_signal",2,signal
onion flavouring agent,onion,"canonical_form, form_signal",2,signal
proabsor8 blend papain,papaya,grade_signal,1,signal
pomegranate flavouring,pomegranate,"canonical_form, form_signal",2,signal
potato flakes potatoes,potato,"canonical_form, form_signal",2,signal
shatavari root extract,shatavari,"canonical_form, form_signal",2,signal
enzyme b-galactosidase,synthetic,"canonical_form, form_signal",2,signal
b-galactosidase enzyme,synthetic,"canonical_form, form_signal",2,signal
ultrasorb tech lactase,synthetic,unclassified,1,unclassified
cysteine hydrochloride,synthetic,unclassified,1,unclassified
distillate of gaozaban,gaozaban,"canonical_form, form_signal",2,signal
fructo-oligosaccharide,sugarcane,"orthographic_noise, redundant_variant, canonical_form",3,mixed
fructo-oligosaccharide,sugarcane,"orthographic_noise, redundant_variant, canonical_form",3,mixed
fructo oligosaccharide,sugarcane,orthographic_noise,1,noise
fructooligosaccharides,sugarcane,orthographic_noise,1,noise
l-lysine hydrochloride,synthetic,canonical_form,1,signal
packaging gas nitrogen,synthetic,orthographic_noise,1,noise
vegetable oil palmolein,palm,form_signal,1,signal
centre fractionated fat,palm,"form_signal, process_signal",2,signal
carrot flavouring agent,carrot,"canonical_form, form_signal",2,signal
modified starch tapioca,tapioca,"canonical_form, form_signal, process_signal",3,signal
mixed fruits flavouring,apple | mango | guava,"form_signal, grade_signal, multi_source",3,signal
vegetables garlic paste,garlic,"canonical_form, form_signal",2,signal
mango puree concentrate,mango,"linguistic_signal, canonical_form, form_signal",3,signal
concentrated mango pulp,mango,"canonical_form, process_signal, grade_signal",3,signal
vegetable oil rice bran,rice,"canonical_form, form_signal",2,signal
steviol glycoside reb-a,stevia,"canonical_form, form_signal",2,signal
strawberry fruit powder,strawberry,"canonical_form, form_signal",2,signal
vegetable oil sunflower,sunflower,"canonical_form, form_signal",2,signal
dehydrated orange juice,orange,"canonical_form, form_signal, process_signal",3,signal
reconstituted skim milk,milk,"canonical_form, form_signal, process_signal, grade_signal",4,signal
whey protein hydrolsate,milk,form_signal,1,signal
apple juice concentrate,apple,"canonical_form, form_signal",2,signal
organic rama tulsi leaf,tulsi,"orthographic_noise, transliteration_signal, canonical_form, form_signal, process_signal, grade_signal",6,mixed
organic vana tulsi leaf,tulsi,"orthographic_noise, transliteration_signal, canonical_form, form_signal, process_signal, grade_signal",6,mixed
bifidobacterium bifidum,synthetic,unclassified,1,unclassified
black pepper flavouring,black pepper,"form_signal, grade_signal",2,signal
butterscotch flavouring,synthetic,form_signal,1,signal
cocoa butter equivalent,palm | shea | sal,"form_signal, multi_source",2,signal
refined cotton seed oil,cottonseed,"orthographic_noise, form_signal, process_signal, grade_signal",4,mixed
guava puree concentrate,guava,"linguistic_signal, canonical_form, form_signal",3,signal
lactobacillus rhamnosus,synthetic,linguistic_signal,1,signal
lemon juice concentrate,lemon,"canonical_form, form_signal",2,signal
organic lemongrass leaf,lemongrass,"canonical_form, form_signal, process_signal, grade_signal",4,signal
onion powder flavouring,onion,"canonical_form, form_signal",2,signal
pomegranate seed powder,pomegranate,"canonical_form, form_signal, grade_signal",3,signal
uv treated and ozonized,SKIP,process_signal,1,signal
black truffle seasoning,truffle,"canonical_form, grade_signal",2,signal
food grade fish gelatin,fish,"canonical_form, form_signal, grade_signal",3,signal
edible sodium caseinate,milk,grade_signal,1,signal
hpmc vegetarian capsule,wood,unclassified,1,unclassified
cotton candy flavouring,synthetic,form_signal,1,signal
ferric ammonium citrate,synthetic,"form_signal, grade_signal",2,signal
fructo-oligosaccharides,sugarcane | beet,"canonical_form, multi_source",2,signal
omega concentrate blend,fish,"form_signal, grade_signal",2,signal
sodium starch glycolate,potato,"form_signal, grade_signal",2,signal
krishnalavana black salt,mineral,"form_signal, grade_signal",2,signal
dehydrated garlic powder,garlic,"canonical_form, form_signal, process_signal",3,signal
spice oleoresin gingerol,ginger,unclassified,1,unclassified
masala flavouring ginger,ginger,"canonical_form, form_signal",2,signal
high fructose corn syrup,corn,"canonical_form, form_signal",2,signal
concentrated milk solids,milk,"canonical_form, form_signal, process_signal",3,signal
soya protein hydrolysate,soybean,form_signal,1,signal
high oleic sunflower oil,sunflower,"canonical_form, form_signal",2,signal
orange juice concentrate,orange,"canonical_form, form_signal",2,signal
skimmed milk concentrate,milk,"canonical_form, form_signal, process_signal, grade_signal",4,signal
whey protein concentrate,milk,form_signal,1,signal
concentrated apple juice,apple,"canonical_form, form_signal, process_signal",3,signal
organic chamomile flower,chamomile,"canonical_form, process_signal",2,signal
pasteurized skimmed milk,milk,"canonical_form, form_signal, process_signal, grade_signal",4,signal
dried bark of cinnamomum,cinnamon,"form_signal, process_signal",2,signal
fat-reduced cocoa powder,cocoa,"canonical_form, form_signal",2,signal
vegetable oil cottonseed,cottonseed,"canonical_form, form_signal",2,signal
binding agent gum acacia,acacia,"canonical_form, form_signal",2,signal
concentrated jamun juice,jamun,"transliteration_signal, canonical_form, form_signal, process_signal",4,signal
concentrated lemon juice,lemon,"canonical_form, form_signal, process_signal",3,signal
milk protein concentrate,milk,"canonical_form, form_signal",2,signal
dehydrated potato flakes,potato,"canonical_form, form_signal, process_signal",3,signal
ethylvanillin flavouring,synthetic,"orthographic_noise, form_signal",2,mixed
toasted watermelon seeds,watermelon,"canonical_form, form_signal, process_signal, grade_signal",4,signal
cherry juice concentrate,cherry,"canonical_form, form_signal",2,signal
packaging gases nitrogen,synthetic,orthographic_noise,1,noise
concentrated fruit juices,apple | orange | mango,"process_signal, multi_source",2,signal
chopped roasted hazelnuts,hazelnut,process_signal,1,signal
sodium selenite angydrate,mineral,grade_signal,1,signal
concentrated orange juice,orange,"canonical_form, form_signal, process_signal",3,signal
roasted and ground coffee,coffee,"canonical_form, process_signal, grade_signal",3,signal
roasted bengal gram flour,bengal gram,"form_signal, process_signal, grade_signal",3,signal
desiccated coconut powder,coconut,"canonical_form, form_signal",2,signal
dehydrated coconut shreds,coconut,"canonical_form, process_signal",2,signal
coconut water concentrate,coconut,"canonical_form, form_signal",2,signal
garcinia cambogia extract,garcinia cambogia,form_signal,1,signal
cardamom seeds flavouring,cardamom,"canonical_form, form_signal, grade_signal",3,signal
hydrolysed ground protein,groundnut,"form_signal, process_signal, grade_signal",3,signal
lactobacillus acidophilus,synthetic,linguistic_signal,1,signal
mosambi juice concentrate,mosambi,"transliteration_signal, canonical_form, form_signal",3,signal
parsley powder flavouring,parsley,"canonical_form, form_signal",2,signal
ethyl vanillin flavouring,synthetic,"orthographic_noise, form_signal",2,mixed
enzyme beta galactosidase,aspergillus niger | kluyveromyces lactis,"orthographic_noise, form_signal, multi_source",3,mixed
